sr_no,party_type,abbreviation,party_symbol,party_name,year
307,U,HMR,Bucket,Hamar Raj Party,2024
308,U,HMSP,Carrom board,Hamara Sahara Party,2024
309,U,HNDPPD,Nagrik,Hindustan People's Party (Democratic),2024
310,U,HNDSWRJD,Apple,Hindvi Swarajyay Dal,2024
311,U,HRJSP,Ganna kisan,Haryana Jansena Party,2024
312,U,HS,Hour glass,Hindrashtra Sangh,2024
313,U,HSP,"Apple,Auto- rickshaw,Battery Torch,Cauliflower",Hindu Samaj Party,2024
314,U,HSS,"Flute,Gas Stove,Rubber stamp,Trumpet",Hindustan Shakti Sena,2024
315,U,HSVP,Binoculars,Hamara Sahi Vikalp Party,2024
316,U,HVD,Bucket,Hindustan Vikas Dal,2024
317,U,IBP,Almirah,Indian Believers Party (IBP),2024
318,U,ILP(AP),"Box,Bread,Bucket,Ganna kisan",Indian Labour Party (Ambedkar Phule),2024
319,U,IMP,Whistle,Indian Movement Party,2024
320,U,INDMP,Tennis racket & ball,India Manus Party,2024
321,U,INDPJC,Apple,Indian Praja Congress,2024
322,U,INDPPLSADH,Balloon,Indian Peoples Adhikar Party,2024
323,U,INGRP,Apple,India Greens Party,2024
324,U,INL,"Ganna kisan,Gas cylinder,Gas Stove,Sewing machine",Indian National League,2024
325,U,INSAF,"Bat,Whistle",Indian National Socialistic Action Forces,2024
326,U,INYJP,"Carrom board,Matchbox",Indian National Yuva Jana Party,2024
327,U,IPBP,Trumpet,India Praja Bandhu Party,2024
328,U,IPGP,Pot,Indian Peoples Green Party,2024
329,U,ISP,"Auto- rickshaw,Laptop,Table",Insaniyat Party,2024
330,U,IUC,Ship,Indian Unity Centre,2024
331,U,JAC,Ganna kisan,Janata Congress,2024
332,U,JaHP,"Diesel pump,Stethoscope",Janahitha Paksha,2024
333,U,JAISMP,Gas cylinder,Jai Samta Party,2024
334,U,JAKAP,Bat,Jammu and Kashmir Apni Party,2024
335,U,JAKNPF,Batsman,Jammu and Kashmir Nationalist People's Front,2024
336,U,JANKRPR,"Box,Hockey and ball",Janta Kranti Party (Rashtravadi),2024
337,U,JaRaP,Whistle,Jan Raajya Party,2024
338,U,JaSD,Apple,Jan Shakti Dal,2024
339,U,JASP,"Balloon,Cauliflower",Jan Sangh Party,2024
340,U,JASWP,Pen nib with seven rays,Jai Swaraj Party,2024
341,U,JBNP,Battery Torch,Jai Bharat National Party,2024
342,U,JCVIVP,Gas cylinder,Jaathia Chethi Vruthula Ikya Vedika Party,2024
343,U,JDKRP,"Computer,Electric pole",Jindabad Kranti Party,2024
344,U,JeSM,Walking stick,Jamat-E-Seratul Mustakim,2024
345,U,JHNDCGP,Camera,Jai Hind Congress Party,2024
346,U,JHP,Scissors,Jai Hind Party,2024
347,U,JHUP,T.V. Remote,Jai Hindustan Party,2024
348,U,JIHNDNTLP,Flute,Jai Hind National Party,2024
349,U,JJ,"Battery Torch,Green chilli",Jebamani Janata,2024
350,U,JJSP,Pen stand,Jatiya Jana Sena Party,2024
351,U,JKiP,Helmet,Janhit Kisan Party,2024
352,U,JKP,"Air conditioner,Basket containing Fruits,Batsman,Cot",Jharkhand Party,2024
353,U,JKPP,Pot,Jharkhand People's Party,2024
354,U,JKRP,Hockey and ball,Janta Kranti Party,2024
355,U,JMBP,"Flute,Whistle",Jai Maha Bharath Party,2024
356,U,JMM(U),Pot,Jharkhand Mukti Morcha (Ulgulan),2024
357,U,JNJWDIP,"Air conditioner,Saw",Jan Janwadi Party,2024
358,U,JNLKVKSP,Apple,Janlok Vikas Party,2024
359,U,JnP,Glass tumbler,Janasena Party,2024
360,U,JNSGNDWP,"Saw,Television",Janseva Gondwana Party,2024
361,U,JNSHSK,Petrol pump,Jana Sahayaka Sakthi,2024
362,U,JNSKJNDL,Flute,Janshakti Janta Dal,2024
363,U,JNSKTSMTP,Ganna kisan,Janshakti Samta Party,2024
364,U,JNSNKP,Auto- rickshaw,Janhit Sankalp Party,2024
365,U,JNTADRBARP,Hockey and ball,Janta Darbar Party,2024
366,U,JNTASP,Apple,Janta Shashan Party,2024
367,U,JNTRAAWJP,Air conditioner,Jantantra Awaj Party,2024
368,U,JNTSMTP,Ganna kisan,Janta Samta Party,2024
369,U,JPC,Apple,Jammu & Kashmir People Conference,2024
370,U,JPJD,Diesel pump,Jai Prakash Janata Dal,2024
371,U,JRBP,Coat,Jaibhim Rao Bharat Party,2024
372,U,JRJP,"Air conditioner,Bucket,Football player",Jagrook Janta Party,2024
373,U,JRVP,Scissors,Janta Raj Vikas Party,2024
374,U,JSDP,"Auto- rickshaw,Diesel pump,Television,Tyres",Jan Sewa Driver Party,2024
375,U,JSEP,Letter box,Jan Shakti Ekta Party,2024
376,U,JSKHP,Lady finger,Jana Shankhaaraavam Party,2024
377,U,JSKP,Gas cylinder,Jan Sewak Kranti Party,2024
378,U,JSPVR,Ship,Janta Samajwadi Party (Vivek Raj),2024
379,U,JSWBHVKP,Television,Jai Sewalal Bahujan Vikas Party,2024
380,U,JUSTIP,Kettle,Justice Party,2024
381,U,JYVDRBP,"Gas cylinder,Room cooler",Jay Vidarbha Party,2024
382,U,KAP,Batsman,Karunaadu Party,2024
383,U,KCVP,Auto- rickshaw,Kannada Chalavali Vatal Paksha,2024
384,U,KEC,Auto- rickshaw,Kerala Congress,2024
385,U,KJD,Pot,Kosal Janata Dal,2024
386,U,KJP,Jackfruit,Karnataka Jantha Paksha,2024
387,U,KKJHS,"Auto- rickshaw,Gas cylinder",Kranti Kari Jai Hind Sena,2024
388,U,KKMP,Pot,Karnataka Karmikara Paksha,2024
